iter	MultiClass
0	1.257853465
1	1.160038992	2	1.067271456
3	0.9981060033
4	0.9389886695	5	0.8886997176	6	0.843577847	0.8019641387
8	0.7713020267
9	0.740309054
10	0.7128046134
11	0.6881416827
12	0.6640191134
13	0.6435612707
14	0.624451166
15	0.6065516263
16	0.5891798729
17	0.574180104
18	0.5608517482
19	0.548875182
20	0.537179806
21	0.5264445036
22	0.5178350121
23	0.5088662384
24	0.4998688207
25	0.4919977437
26	0.484659111
27	0.4727	0.4757324433
28	0.4689197146
29	0.4622584327
30	0.4560007743
31	0.4502524976
32	0.4455850531
33	0.4413899213
34	0.4371657558
35	0.4325234264
36	0.4282124435
37	0.4241589402
38	0.4209591162
39	0.4170833573
40	0.4128637787
41	0.4096314102
42	0.4063031461
43	0.403571844	0.4056555318
45	0.4030778948446	0.4007880151447	0.397921313
48	0.3955411558
49	0.3925784252
50	0.3895577549
51	0.3876509003
52	0.3857419823
53	0.3837319835
54	0.3817082431
55	0.379993384
56	0.377935975
57	0.3751522858	5858	0.3723962765959	0.37033760	0.3571529547
61	61	0.3678494335
62	0.3652390333
63	0.3637253903
64	0.3617531418
65	0.3591779475
66	0.3583093375
67	0.3563954403
68	0.3549128836
69	0.3529757278
70	0.3518415894
71	0.3500919304
72	0.3482155026
73	0.3471362995
74	0.3452712654
75	0.3440205975
76	0.3425839159
77	0.3410064812
78	0.3391689654
79	0.3371232602
80	0.335473887
81	0.3340100751
82	0.332162986
83	0.331587284
84	0.3294665587
85	0.3282534359
86	0.327146924
87	0.3255590565
88	0.3242110266
89	0.3231138671
90	0.3223020191
91	0.3210710256
92	0.3198967651993	0.3193179944
94	0.3178706868
95	0.3163665616
96	0.3144640044
97	0.31369953298	0.3147110232
99	0.3132589617
100	0.3121007244
101	0.3111783144
102	0.3095804175
103	0.3084584171
104	0.3080865535
105	0.3069208979
106	0.305861063
107	0.3047599644
108	0.304185578
109	0.3022437816
110	0.3013736626
111	0.3004254703
112	0.2997845962
113	0.2987364935
114	0.2975079562
115	0.2962230096
116	0.2949051564
117	0.2935732065
118	0.118	0.2975411119	0.2919131867
120	0.2907742797
121	0.2891089403
1122	0.2925992165123	0.2866936321
1124	0.290654692
125	0.2896137499
126	0.28861903
127	0.2880245363
128	0.2869819739
129	0.2862144593
130	0.2853090404
131	0.2836818171
132	0.2826451281
133	0.2809066247
134	0.2790106574
135	0.2781391109
136	0.2776346645
137	0.2762688829
138	0.2752430833
139	0.2744583979
140	0.2732798399
141	0.2719617514
142	0.2710067356
143	0.2706103546
144	0.2697751127
145	0.2687823739
146	0.2680768293
147	0.267126582
148	0.2660623411
149	0.2652714807
150	0.2646843656
151	0.2639388509
152	0.2630586129
153	0.262460977
154	0.2616659864
155	0.2607568574
156	0.2600254892
157	0.2592582547
158	0.2588708222
159	0.2581011138
160	0.2568892446
161	0.2564026022
162	0.2556306666
163	0.2551221673
164	0.2537911879
165	0.2528877352
166	0.2522089377
167	0.2518500747
168	0.2510892798
169	0.2496299961
170	0.2491632645
171	0.248597139
172	0.2478079673
173	0.247588997
174	0.2467728431
175	0.2464878872
176	0.2459158861
177	0.2454254817
178	0.2440386138
179	0.2430242677
180	0.241973238
181	0.2414231195
182	0.2400502645
183	0.2390247655
184	0.2380546691
185	0.2372161902
186	0.2369611341
187	0.2364554189
188	0.2351506236
189	0.2343155162
190	0.2335380422
191	0.23281443
192	0.23249107
193	0.2317409802
194	0.2310705554
195	0.2305500526
196	0.2291055563
197	0.2284746575
198	0.2276126257
199	0.2267816184
200	0.2260558846
201	0.2253958395
202	0.2248661696
203	0.2237764397
204	0.2228702037
205	0.2220352757
206	0.2214690604
207	0.2208329097
208	0.2202691353
209	0.2198138718
210	0.2191463045
211	0.2185768124
212	0.2178263305
213	0.2164167853
214	0.2158215366
215	0.2154261314
216	0.214628149
217	0.2139263731
218	0.2131479446
219	0.2123426265
220	0.211853433
221	0.2111668593
222	0.2106791654
223	0.2100148726
224	0.20905642
225	0.2086138416
226	0.2082455472
227	0.2075721968
228	0.2061118481
229	0.2054741806
230	0.2047808339
231	0.2040940324
232	0.2030026219
233	0.2018661891
234	0.201072801
235	0.2003501558
236	0.1998420632
237	0.19945037
238	0.1989144457
239	0.1982349425
240	0.1972583713
241	0.196606861
242	0.19587070243	0.1857225672
244	0.1851237218
245	0.1844914902
246	0.1836975513
247	0.1831193824
248	0.1825410249
249	0.1821004591
25250	0.1905791243
251	0.18986802225252	0.1892361802525253	0.1852850547
254	0.1846341726
255	0.1841179645
256	0.1837714257	257	0.1832695258	258	0.182612743
259	0.1817775260	260	0.1810946386
261	0.1804774097
262	0.179989863
263	0.1794833462
264	0.1787810334
265	0.1786147388
266	0.1784711194
267	0.1778162341
268	0.1773427733
269	0.1767299478
270	0.1757330223
271	0.174767078
272	0.1745078484
273	0.1740017629
274	0.173355792
275	0.1732413956
276	0.173049977
277	0.1727954822
278	0.171787621
279	0.171067162
280	0.1706500448
281	0.170116586
282	0.1695527072
283	0.1690169812
284	0.1682836953
285	0.1681907745
286	0.1678277498
287	0.1674668663
288	0.1668678794
289	0.166596159
290	0.1661927429
291	0.1656139595
292	0.1653367901
293	0.1644849773
294	0.1638946461
295	0.1631911338
296	0.1627104032
297	0.1624067135
298	0.1617475237
299	0.1613808144
300	0.1608804184
301301	0.1568321849
302	0.1565519303	303	0.1561806304	0.1591497052
305	0.1589129808
306	0.158122777
307	0.1579153404
308	0.1574681712
309	0.1566827532
310	310	0.1527530311	311	0.152384312	0312	0.152183313	0313	0.151674314	0314	0.151026315	0.154166935
316	0.316	0.15068317	0.1531769125
318	0318	0.1497049301
319	0.1489759749
320	0.1487636125
321	0.1483523209
322	0.1477805508
323	0.1472026064
324	0.1468524444
325	0.1464402131
326	0.1459882162
327	0.1454133759
328	0.1448587937
329	0.144474965
330	0.1439217214
331	0.1433336885
332	0.1430927945
333	0.1427297761
334	0.1420832296
335	0.1416109817
336	0.1411755735
337	0.1406592878
338	0.1403007414
339	0.1400532052
340	0.1392590687
341	0.1386926333
342	0.1383934554
343	0.1379274588
344	0.1377747466
345	0.1376120867
346	0.1369089581
347	0.1363563495
348	0.1360798689
349	0.1356624033
350	0.1353299149
351	0.1346158777
352	0.1342251259
353	0.1337046458
354	0.133327602
355	0.1330381434
356	0.1326943798
357	0.1321832358
358	0.1317547761
359	0.1313553695
360	0.130848306
361	0.1303474354
362	0.1300710332
363	0.1296669654
364	0.129538363
365	0.1290976752
366	0.1286748148
367	0.1285092225
368	0.1282813285
369	0.1277852532
370	0.1273601726
371	0.1269371618
372	0.1265035751
373	0.1261169859
374	0.1259799544
375	0.125666418
376	0.1254632031
377	0.1250473158
378	0.1249939069
379	0.1246481761
380	0.1243409493
381	0.1239956945
382	0.1237453161
383	0.1234286293
384	0.1231650829
385	0.1226606413
386	0.1223715544
387	0.1221464775
388	0.1218140252
389	0.1213409527
390	0.1210980876
391	0.12045392	0.392	0.12003393	0.393	0.11988394	0.1241624633
395	0.1240193545
396	0.123710452
397	0.1234044053
398	0.1231876946
399	0.1229022533
400	0.1227714654
401	0.1225668898
402	0.1222562353
403	0.1219449726
404	0.1214221312
405	0.1209879892
406	0.1206846585
407	0.1204856567
408	0.1199846321
409	0.1198574397
410	0.119571117
411	0.1411	0.1147412	0.1412	0.1146020944
413	0.1143681458
414	0.1140691981
415	0.1137989419
416	0.1135516225
417	0.1131343225
418	0.11287478
419	0.1123797387
420	0.1121309464
421	0.1120582711
422	0.1118454968
423	0.1114835364
424	0.1111425	0.1425	0.1110782911
42426	0.11399091742427	0.1136585087
428	0.11325260429429	0.1129295833
430	0.112512754
431	0.1123113968
432	0.1120472394
433	0.1117170804
434	0.1113764546
435	0.1111389969
436	0.11086495943437	0.1104708153
438	0.11026452543439	0.109919245440	0.1065880709
441	0.1062696712
442	0.1057523079
443	0.1054554514
444	0.1052903232
4445	0.1079379534446	0.1047202749
447	0.10448	0.1082595283
449	0.107449	0.1040236568
450	0.1451	0.1073451	0.1452	0.1071732618
453	0.1069502836
454	0.1067454	0.1027207615
455	0.1456	0.1064456	0.1023952247
457	0.1021015739
458	0.1017319425
459	0.1016336841
460	0.1013676972
461	0.1010959494
462	0.1008656336
463	0.1006353105
464	0.1005081099
465	0.1003815737
466	0.1001500108
467	0.09987885954
468	0.09976649225
469	0.09949555085
470	0.09907361776
471	0.09896620046
472	0.09869392773
473	0.09852051043475	0.1019656629
47475	0.097938190477476	0.09771728478	477	0.09729530238
478	0.09719897098
479	0.09708530385
480	0.09692968642
481	0.09659748092
482	0.0963911673
483	0.09621534474
484	0.09585190065
485	0.09556114919
486	0.09532913945
487	0.09502240959
488	0.09462195985
489	0.09455089083
490	0.09421181358
491	0.09372068022
492	0.09347813011
493	0.09324553838
494	0.0929768445
495	0.09268946962
496	0.09246498992
497	0.09219229913
498	0.09208664094
499	0.09178741807
500	0.09157065051
501	0.09136518374
502	0.09125756133
503	0.09100286905
504	0.09072389322
505	0.09053364327
506	0.09028465176
507	0.09020505915
508	0.09008843952
509	0.08980288878
510	0.08959688985
511	0.08946747407
512	0.08930056945
513	0.08903462591
514	0.088828268
515	0.08871867618
516	0.0885173188
517	0.08825850562
518	0.08796426793
519	0.08777360026
520	0.08749021072
521	0.08724080265
522	0.08713420103
523	0.08694185347
524	0.08665293136
525	0.08646901308
526	0.08628658367
527	0.08620614514
528	0.08596034294
529	0.08577817463
530	0.08554642394
531	0.08547173032
532	0.08514478996
533	0.08499940799
534	0.0849426401
535	0.08468732443
536	0.08451948739
537	0.08442387445
538	0.08427977084
539	0.08416371745
540	0.08400243105
541	0.08382504712
542	0.08362466346
543	0.08341960323
544	0.0830773475
545	0.08287230491
546	0.08266721042
547	0.08252591386
548	0.08220614546
549	0.08192888429
550	0.08178435653
551	0.08168272568
552	0.08145472564
553	0.0812867629
554	0.08111976198
555	0.08095211501
556	0.08054776753
557	0.08036102208
558	0.08022882033
559	0.08006663735
560	0.07984750778
561	0.07963002749
562	0.07951890778
563	0.07931073573
564	0.07914631066
565	0.07903689262
566	0.07883473009
567	0.07870315093
568	0.07856896836
569	0.07840310362
570	0.07829822789
571	0.07815489874
572	0.07796032139
573	0.07775714773
574	0.07762076854
575	0.07752329086
576	0.0773978552
577	0.07724150843
578	0.07701833289
579	0.07676353193
580	0.07665024283
581	0.07662508366
582	0.07649968943
583	0.0763982685
584	0.07626732885
585	0.07604847626
586	0.07584844537
587	0.07566595467
588	0.0755677614
589	0.07541520324
590	0.07532215067
591	0.07523710281
592	0.07508596601
593	0.07491248827
594	0.0746485277
595	0.07445954285
596	0.0742332464
597	0.07411896517
598	0.07392554528
599	0.07375631672
600	0.07365361622
601	0.07354300571
602	0.07343910657
603	0.07327199359
604	0.07309794472
605	0.07299643397
606	0.07286084177
607	0.07271433577
608	0.07254274479
609	0.07236113491
610	0.07229260227
611	0.07215031484
612	0.07197854998
613	0.0615	0.07485614	0.0616	0.07471328846
617	0.07451490063
618	0.07442593373
619	0.07434465284
620	0.07403080233
621	0.0739076488
622	0.07377227251
623	0.07361194743
624	0.07348796821
625	0.07332881016
626	0.07325940053
627	0.07309889862
628	0.0729857477
629	0.07293042872
630	0.07275499047
631	0.07255952632
632	0.07243145764
633	0.07233877825
634	0.07219838045
635	0.07207804804
636	0.07203188029
637	0.0719392948
638	0.07183116409
639	0.07171604442
640	0.07157779889
641	0.07147782331
642	0.07135928016
643	0.07120930938
644	0.07112630599
645	0.07102175054
646	0.07091877065
647	0.07089685475
648	0.07079079741
649	0.07066104062
650	0.07054841342
651	0.07045008112
652	0.07036153546
653	0.07021992426
654	0.06998153643
655	0.06983549694
656	0.069697963
657	0.06953565071
658	0.06942757796
659	0.06920860355
660	0.06904962777
661	0.06892500875
662	0.06884352051
663	0.06869328688
664	0.06852917265
665	0.06833603503
666	0.06819935806
667	0.06814551176
668	0.067977228
669	0.06787093543
670	0.06779242479
671	0.06760812921
672	0.06746794932
673	0.06735985597
674	0.06718703835
675	0.06709805114
676	0.0670384338
677	0.06691728517
678	0.06683322293
679	0.06678509385
680	0.06670497272
681	0.06657926835
682	0.06638515173
683	0.06615399482
684	0.0660421796
685	0.06586453923
686	0.06581673672
687	0.06566393718
688	0.06549305754
689	0.06521719724
690	0.06506536442
691	0.06494496643
692	0.06488871587
693	0.06475676381
694	0.06464073278
695	0.06456643441
696	0.06451774458
697	0.06435393528
698	0.06414497346
699	0.06408322074
700	0.06388533293
701	0.06375091476
702	0.06368073222
703	0.06358864647
704	0.06351879343
705	0.06335844187
706	0.06322618224
707	0.06307721912
708	0.06288821256
709	0.06282300101
710	0.062710497071711	0.0625282403
712	0.06238065509
713	0.06229287119
714	0.06218772654
715	0.06209709749
716	0.06195827945
717	0.06191783663
718	0.06185721391
719	0.06172006485
720	0.06161213449
721	0.06154583489
722	0.06142216219
723	0.06123245506
724	0.06110420586
725	0.06088250888
726	0.06075933762
727	0.06067197042
728	0.06054504677
729	0.06051678112
730	0.06040787172
731	0.06035246106
732	0.06018758719
733	0.06008517697
734	0.0599348506
735	0.05976781516
736	0.05966875764
737	0.05958536382
738	0.05948655407
739	0.05940313416
740	0.05927259485
741	0.05920556197
742	0.05915533858
743	0.0590524799
744	0.05895500537
745	0.05884042354
746	0.05876505751
747	0.05869544592
748	0.05859921192
749	0.05853983076
750	0.0584035683
751	0.05828582463
752	0.05813562013
753	0.05802741471
754	0.05788906673
755	0.05778770962
756	0.05770698873
757	0.05765348859
758	0.05751302426
759	0.05740776124
760	0.05723460053
761	0.05720840448
762	0.05709902093
763	0.05695131106
764	0.0568256458
765	0.05675835064
766	0.05666155962
767	0.05652482387
768	0.05641764473
769	0.05636994123
770	0.05629653777
771	0.0562306112
772	0.05616350382
773	0.05607792032
774	0.0559093791
775	0.05581923684
776	0.05569673904
777	0.05563454964
778	0.05558489108
779	0.05553251443
780	0.05541702183
781	0.05527334966
782	0.0551542649
783	0.05505304003
784	0.05500939443
785	0.05492168402
786	0.05485977494
787	0.05474466914
788	0.05457067533
789	0.05443449083
790	0.05433228114
791	0.05428052781
792	0.05422204765
793	0.05405105516
794	0.05394726787
795	0.05390229671
796	0.05385807302
797	0.05377119556
798	0.053684223
799	0.05363792931
800	0.05358725662
801	0.05348910124
802	0.0533822724
803	0.05330180652
804	0.05320171236
805	0.05314951924
806	0.05302574173
807	0.05294237036
808	0.05283874261
809	0.0527566011
810	0.0526094388
811	0.05252726764
812	0.05244759042
813	0.0523424162
814	0.05221101162
815	0.05216762667
816	0.05205069309
817	0.05196425285
818	0.05189543665
819	0.05181547156
820	0.05172781054
821	0.05171222367
822	0.05166084464
823	0.0515643982
824	0.0515108757
825	0.05141165536
826	0.05135512143
827	0.05127449186
828	0.05115810864
829	0.05110973004
830	0.05100157886
831	0.05093477673
832	0.05085343797
833	0.05075609362
834	0.05064210375
835	0.05057211381
836	0.05049553508
837	0.050431205
838	0.05033761413
839	0.05022070596
840	0.05016801034
841	0.05013034875
842	0.05005525619
843	0.04999570997
844	0.04984607387
845	0.04981310891
846	0.04976048392
847	0.04970619942
848	0.04964427537
849	0.04953859494
850	0.04944240566
851	0.04938287389
852	0.0492885422
853	0.04923966357
854	0.04917369019
855	0.049114092
856	0.04904366039
857	0.04896945988
858	0.04891304323
859	0.04880725021
860	0.0487576202
861	0.04865103072
862	0.04857614766
863	0.0484648612
864	0.04838914116
865	0.04831379006
866	0.04823461166
867	0.04819169525
868	0.04806783836
869	0.04800907178
870	0.04790595156
871	0.0477892189
872	0.04774655972
873	0.04767474316
874	0.04759085657
875	0.04753723485
876	0.04748085176
877	0.04739753297
878	0.04729365841
879	0.04718710002
880	0.04709230006
881	0.04702817061
882	0.04697897158
883	0.04692565166
884	0.04685413297
885	0.04679303124
886	0.04674574264
887	0.04663463154
888	0.04661920533
889	0.04652724345
890	0.04649107431
891	0.04641644133
892	0.04635435405
893	0.04628709653
894	0.04622890203
895	0.04619392613
896	0.04615756226
897	0.04613577548
898	0.04608903079
899898	0.044003149900899	0.04393492901	900	0.04392230301
901	0.04388175628
902	0.04386025858
903	0.04374900874
904	0.04369711073
905	0.04359627942
906	0.04354127751
907	0.04343804601
908	0.04337878855
909	0.04331916803
910	0.04324362334
911	0.04321413863
912	0.04314533993
913	0.04309651941
914	0.04301903479
915	0.04297738912
916	0.04287793771
917	0.04281215281
918	0.04276442776
919	0.04273407875
920	0.04268382904
921	0.04252436724
922	0.04247102535
923	0.04242066292
924	0.04234607056
925	0.04227623685
926	0.04222706067
927	0.04216852363
928	0.04209852836
929	0.04206305679
930	0.0420087018
931	0.04195334766
932	0.04191127891
933	0.04180912665
934	0.04173223618
935	0.04169434983
936	0.04158141685
937	0.04156943848
938	0.04151803907
939	0.04148019122
940	0.04141166731
941	0.04135775581
942	0.04131645012
943	0.04124356059
944	0.04118920897
945	0.0411178814
946	0.041085726
947	0.04105624621
948	0.04102868641
949	0.04092248835
950	0.04086043793
951	0.04077660249
952	0.04073367374
953	0.04068885432
954	0.04057295891
955	0.04050372698
956	0.04045844541
957	0.04043055384
958	0.04037708401
959	0.04029498361
960	0.04021667026
961	0.0401770322
962	0.04011660581
963	0.04007015161
964	0.04002501357
965	0.0399478419
966	0.03988836083
967	0.03981564281
968	0.03980243896
969	0.03970874035
970	0.03964833798
971	0.03962681497
972	0.0395196427
973	0.0394396878
974	0.03940013383
975	0.03933627459
976	0.03926913916
977	0.03914184896
978	0.03907329525
979	0.03904722845
980	0.03897842975
981	0.03888584221
982	0.0388348549
983	0.03875630154
984	0.03867335597
985	0.03862154488
986	0.03857562728
987	0.03849254029
988	0.03844503732
989	0.03839377872
990	0.03834868692
991	0.03831068458
992	0.03827202435
993	0.03824551483
994	0.03818277578
995	0.03814210814
996	0.03808051824
997	0.03802529502
998	0.03799266433
999	0.03797523303
827252
